Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~IMX6ULL开发板.PrjPCB|ReportField=ProjectFullPath~E:\我的工程项目\imx6ull开发板\PCB\IMX6ULL开发板.PrjPCB|ReportField=Title~Bill of Materials For Project [IMX6ULL开发板.PrjPCB] (PCB Document : imx6ull开发板.PcbDoc)|ReportField=TotalQuantity~188|ReportField=ReportTime~17:13:05|ReportField=ReportDate~2020/6/12|ReportField=ReportDateTime~2020/6/12 17:13:05|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2020/6/12|ReportField=CurrentTime~17:11:29|ReportField=Date~|ReportField=DocumentFullPathAndName~E:\我的工程项目\imx6ull开发板\PCB\CONNECT.SchDoc|ReportField=DocumentName~CONNECT.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2020/6/9|ReportField=Organization~|ReportField=ProjectName~IMX6ULL开发板.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~IMX6ULL开发板.PrjPCB|ReportField=DataSourceFullPath~E:\我的工程项目\imx6ull开发板\PCB\IMX6ULL开发板.PrjPCB|ReportField=PCBDataSourceFileName~imx6ull开发板.PcbDoc|ReportField=PCBDataSourceFullPath~E:\我的工程项目\imx6ull开发板\PCB\imx6ull开发板.PcbDoc
29|JTAG||JTAG|JTAG_20|JTAG|1
30|BUTTON||K1|BTN8.5*8.5|BUTTON|1
31|KEY1X3||K2|PKEY|PKEY|1
32|KEY|按键|KEY1, KEY2, RETSET|TSW DIP-6*6*5 - 2|KEY|3
33|4.7uH|功率屏蔽电感|L1, L2|L-SMD-0420|L-CDRH|2
34|2.2uH|Inductor|L3|CD74 电感   7*7*4mm贴片|Inductor|1
35|120R,2.0A|小功率贴片电感磁珠|L4|L 0603|L|1
36|Header 24X2|Header, 24-Pin, Dual row|P2|HDR2X24|Header 24X2|1
37|S8550|高频放大-PNP型|Q1|SOT23-3L|8550-SMD|1
38|100R||R1, R2|R_0603P|R|2
39|R*4_0603_2||R3|R*4-0603|R*4_0603_2|1
40|0R||R4, R5, R63|R_0603P|R|3
41|4K7||R6, R7, R8, R9, R13, R14, R15, R16, R18, R20|R_0603P|R|10
42|10K||R10, R12, R34, R43, R52, R54, R62, R65, R69, R72, R73|R_0603P|R|11
43|10K||R11|R*4-0603|R*4_0603_2|1
44|NC||R17, R19, R36, R53, R55, R56, R57, R58, R59, R60, R61, R64, R66, R67, R68, R70, R71|R_0603P|R|17
45|1K||R21, R22, R23, R37, R39, R44, R45, R50, R80|R_0603P|R|9
46|84.5k||R24|R_0603P|R|1
47|49.9k||R25|R_0603P|R|1
48|100K||R26, R32, R35|R_0603P|R|3
49|15K||R27, R28|R_0603P|R|2
50|200R||R29|R_0603P|R|1
51|5R||R30|R_0805|R|1
52|270K||R31|R_0603P|R|1
53|6K8||R33|R_0603P|R|1
54|49.9R||R38, R40, R41, R42|R_0603P|R|4
55|12.1K||R46|R_0603P|R|1
56|510R||R47, R48, R49|R_0603P|R|3
57|120R||R51|R_0603P|R|1
58|RGBLCD|FPC-40P-0.5mm|RGBLCD1|FPC0.5-TOP40P|FPC-40|1
59|ANT||SAM1|SMA-KE|SAM-DIP 天线座|1
60|SDIO WIFI|Header, 6-Pin, Dual row|SDIO_WIFI|HDR2X6|Header 6X2|1
61|Micro SD|Micro SD卡|TF_CARD1|Micro SD|Micro SD|1
62|DC JW5060T_6|DC降压芯片|U1, U2|SOT23-6N|DC JW5060T_6|2
63|CS5080|5V输入8V4输出充电器IC|U3|ESOP8   IP5306|CS5080 5V输入8V4输出充电器IC|1
64|18650||U4|18650 2节电池座 PCB插脚|18650 2节电池座 PCB插脚|1
65|LAN8720A|ETH PHY|U5|QFN24|LAN8720|1
66|CH340C|USB2UART|U6|SOP16_N|CH340G|1
67|XC6206|LDO|U7|SOT23-3N|LDO XC6206|1
68|SGM3157|单路双掷模拟开关|U8, U9, U12, U13, U14|SOT363-6L|SGM3157|5
69|TJA1050||U10|SOP8_N|SN65HVD230D|1
70|AP3216C|ALS+PS Sensor|U11|QFN8|AP3216C|1
71|Header2X2|2*2P接插件|USART1|HDR-2X2|Header 2X2|1
72|USB|USB-A型母接口|USB_HOST1, USB_HOST2|USB-A/S_E|USB-A/S|2
73|USB-5P|微型USB母座|USB_OTG1, USB_TTL1|USB-MINI-A|USB-5P|2
74|XC6206P||X1|XC6206P332  SOT-23  LDO电源稳压IC|XC6206P-332 稳压LDO芯片|1
